"WR","PC1","PC2","PC3","PC4","PC5"
"africa",-0.0355,-0.0083,0.0013,-4e-04,9e-04
"americas",0.0139,-0.01195,0.0066,-0.11745,-0.0021
"cs_asia",0.007,0.008,-0.0326,8e-04,0.0066
"e_asia",0.0159,-0.0255,0.0086,0.0085,0.0027
"europe",0.00535,0.024,0.0183,0.00305,-0.0025
"oceania",0.0062,-0.00825,-0.03145,0.0056,-0.20015
